transaction_id,transaction_time,amount,merchant_latitude,merchant_longitude,customer_distance,transaction_hour,day_of_week,previous_fraud_count,avg_transaction_amount,transaction_frequency,device_type,ip_country_mismatch,card_age_days,is_fraud
TXN000064,2025/11/12 08:23,14.73,-17.337895,-141.65362,145.4,8,2,0,33.53,3.57,0,0,2248,legitimate
TXN000065,2025/5/28 11:29,33.4,89.950906,0.63807,65.1,11,2,0,217.29,1.28,1,0,2513,legitimate
TXN000066,2025/8/3 08:33,61.09,83.339751,-177.476438,1.1,8,6,0,233.25,6.4,0,0,920,legitimate
TXN000067,2025/7/15 21:44,36.82,-45.155743,103.572487,164.3,21,1,0,22.48,0.76,0,0,2872,fraudulent
TXN000068,2025/1/7 18:07,56.25,61.071151,-161.911884,9.2,18,1,0,77.53,0.41,1,1,1380,fraudulent
TXN000069,2025/1/25 02:37,50.51,74.001735,170.745219,89.2,2,5,1,138.99,4.2,0,0,2475,legitimate
TXN000070,2025/4/20 02:42,24.9,36.26242,159.861849,95.6,2,6,0,83.65,4.77,0,0,2717,legitimate
TXN000071,2025/11/30 16:06,97.92,75.65734,12.421385,24.5,16,6,0,10.07,3.56,1,0,1708,legitimate
TXN000072,2025/12/23 10:56,9.06,0.419654,110.912081,138.1,10,1,0,4.14,1.3,0,0,1407,legitimate
TXN000073,2025/9/20 02:20,14.54,-53.236821,144.422194,7.2,2,5,0,152.6,7.15,1,0,488,legitimate
TXN000074,2025/5/26 12:24,136.93,15.863878,127.035906,91.8,12,0,0,79.84,0.9,0,1,1536,legitimate
TXN000075,2025/7/9 09:45,111.36,-55.246529,21.505666,34.3,9,2,0,42.15,2.59,0,1,536,legitimate
TXN000076,2025/12/20 13:56,26.2,-83.513616,98.432505,0.3,13,5,0,146.42,4.75,1,0,2563,legitimate
TXN000077,2025/12/6 19:24,154.86,-12.193553,-128.787234,,19,5,1,59.28,6.1,1,0,524,fraudulent
TXN000078,2025/12/29 00:27,107.82,-87.342565,-36.498709,5.9,0,0,0,16.68,0.41,1,0,655,legitimate
TXN000079,2025/11/13 04:42,197.71,0.131662,179.367964,62.6,4,3,0,13.15,3.79,0,0,49,legitimate
TXN000080,2025/1/25 11:33,26.67,65.004507,4.485902,33.1,11,5,0,141.65,1.6,2,1,465,legitimate
TXN000081,2025/7/31 05:19,14.71,-49.355224,-70.221788,53.8,5,3,1,200.76,1.84,1,0,764,legitimate
TXN000082,2025/8/19 13:59,21.16,-40.992073,60.036019,67.7,13,1,0,4.12,5.82,0,0,2308,legitimate
TXN000083,2025/11/30 06:06,137.89,89.56021,-68.564091,25.4,6,6,0,48.92,3.84,0,0,1687,legitimate
TXN000084,2025/3/13 15:12,153.2,73.903677,-75.925612,281.7,15,3,0,162.86,2.04,0,0,871,legitimate
TXN000085,2025/11/16 06:29,7.85,25.930556,7.379954,10.7,6,6,0,147.83,5.49,0,0,848,legitimate
TXN000086,2025/7/8 11:24,72.81,6.060659,0.07007,20.6,11,1,0,96.65,5.4,0,0,2836,legitimate
TXN000087,2025/11/26 19:21,266.04,50.007768,-151.322682,6.9,19,2,0,39.13,4.54,2,0,901,legitimate
TXN000088,2025/5/14 07:00,100.71,29.124622,20.823042,56.3,7,2,0,225.52,2.18,0,0,2228,legitimate
TXN000089,2025/11/7 00:59,4.82,-51.385646,-137.874368,3.3,0,4,0,98.26,5.29,0,0,2777,legitimate
TXN000090,2025/12/15 21:41,73.43,13.602937,-61.31465,,21,0,0,243.93,0.93,1,0,2425,legitimate
TXN000091,2025/2/16 19:38,293.44,44.668335,-28.354683,60.5,19,6,0,382.54,3.96,0,0,1372,legitimate
TXN000092,2025/7/14 00:49,207.44,6.663062,-122.193373,,0,0,0,12.59,5.98,0,0,2455,legitimate
TXN000093,2025/12/29 22:32,75.86,-61.999358,-175.221087,3.2,22,0,0,341.28,7.21,1,0,2915,legitimate
TXN000094,2025/9/27 12:28,177.02,-50.68735,38.388295,72.9,12,5,0,189.61,,0,0,584,legitimate
TXN000095,2025/3/12 09:18,18.11,-68.842463,-136.93714,72,9,2,0,43.72,1.63,1,0,172,legitimate
TXN000096,2025/5/22 16:38,215.21,-61.634189,-109.174109,70.9,16,3,0,146.95,4.11,0,0,1975,legitimate
TXN000097,2025/10/27 12:10,28.96,64.247726,68.953464,33.7,12,0,0,174.63,3.96,2,0,965,legitimate
TXN000098,2025/4/17 13:48,215.38,-64.507302,-117.999104,52.6,13,3,0,130.24,2.66,0,0,9,legitimate
TXN000099,2025/11/24 05:44,45.41,-5.780882,48.997962,65.4,5,0,0,168.34,,0,1,1120,fraudulent
TXN000100,2025/1/11 05:14,31.3,-29.993812,-151.508479,0.9,5,5,0,46.3,7.9,1,0,1382,legitimate
TXN000101,2025/3/9 02:45,82.19,45.897916,-35.312901,9.5,2,6,1,108.34,7.2,0,0,890,legitimate
TXN000102,2025/1/1 03:44,81.33,-89.466495,-19.120168,77.8,3,2,0,357.62,6.69,0,0,2585,legitimate
TXN000103,2025/11/25 13:49,87,-36.241953,113.502565,67.8,13,1,0,44.14,3.19,1,0,0,legitimate
TXN000104,2025/3/2 11:40,72.67,-55.491159,-145.90946,74.1,11,6,0,119.76,5.79,0,0,323,legitimate
TXN000105,2025/5/25 18:08,50.63,-79.343388,145.108489,3.1,18,6,0,104.24,7.63,1,0,237,legitimate
TXN000106,2025/6/30 11:16,200.3,10.364224,140.265726,28.1,11,0,0,15.92,6.74,1,0,133,legitimate
TXN000107,2025/3/29 23:27,93.6,69.665187,-73.298566,,23,5,1,231.91,2.15,0,1,1137,legitimate
TXN000108,2025/2/2 12:28,44.31,76.406081,-54.073986,6.2,12,6,0,3.53,5.53,0,0,200,legitimate
TXN000109,2025/7/15 13:00,97.74,-64.355279,169.511311,31.1,13,1,0,172.35,1.49,2,0,2015,legitimate
TXN000110,2025/9/18 03:24,234.73,-44.510476,62.361907,25.3,3,3,1,26.13,4.72,0,0,462,legitimate
TXN000111,2025/4/23 16:38,4.62,31.789511,118.955837,43.1,16,2,0,472.86,3.84,0,0,1180,legitimate
TXN000112,2025/1/4 17:40,40.75,-14.452175,-9.760768,97.6,17,5,0,27.78,0.58,0,0,565,legitimate
TXN000113,2025/8/17 05:48,13.46,-79.955036,-32.302149,,5,6,0,105.36,2.85,1,0,2611,legitimate
TXN000114,2025/12/25 06:07,218.1,-30.489986,-32.624924,,6,3,0,222.91,7.38,2,0,1411,legitimate
TXN000115,2025/4/9 04:55,95.24,-75.701312,52.613882,141.9,4,2,0,24.31,3.3,2,0,279,fraudulent
TXN000116,2025/6/12 07:56,95.49,73.460847,-1.872263,58.1,7,3,0,60.04,2.66,0,0,1451,legitimate
TXN000117,2025/12/11 09:59,69.78,59.167506,97.419893,161.3,9,3,0,75.51,3.4,0,0,66,legitimate
TXN000118,2025/4/6 13:10,5.71,-2.689589,50.968052,31.7,13,6,0,6.55,6.45,1,0,1416,legitimate
TXN000119,2025/7/31 16:00,234.68,-70.17735,119.203622,10.3,16,3,1,74.13,2.23,0,0,756,fraudulent
TXN000120,2025/3/3 11:34,174.44,-66.418974,8.190329,111.1,11,0,0,5.25,5.52,0,0,1315,legitimate
TXN000121,2025/11/1 05:12,152.14,-58.32233,-139.004479,0.1,5,5,0,46.5,7.29,1,0,899,legitimate
TXN000122,2025/4/27 14:19,22.8,42.790124,75.513981,136.6,14,6,0,160.38,1.37,1,0,283,legitimate
TXN000123,2025/4/9 13:20,33.14,-67.736261,103.473513,6.1,13,2,0,33.44,6.15,0,0,2022,legitimate
TXN000124,2025/8/11 19:48,50.24,-61.435209,54.848894,65.4,19,0,0,,4.67,0,0,1257,legitimate
TXN000125,2025/10/28 00:54,342.24,33.079876,24.763014,2.4,0,1,0,31.16,0.28,0,0,857,legitimate
TXN000126,2025/10/12 06:51,16.5,-38.289457,-17.882427,24.3,6,6,0,142.9,0.68,0,0,1153,legitimate
TXN000127,2025/4/19 03:51,883.69,51.80593,131.714727,4.3,3,5,0,14.45,4.47,0,0,382,legitimate
TXN000128,2025/5/24 05:31,123.68,-1.770289,42.870256,33.5,5,5,0,154.79,2.83,0,0,1314,legitimate
TXN000129,2025/10/1 19:11,68.77,-71.05339,-99.164921,6.8,19,2,0,,7.9,0,0,2743,legitimate
TXN000130,2025/1/11 06:58,54.19,52.841497,-145.115851,22.2,6,5,0,45.18,2.79,2,0,2420,legitimate
TXN000131,2025/3/19 06:49,90.47,-9.958009,-102.998704,54.2,6,2,1,67,5.71,0,0,2870,legitimate
TXN000132,2025/10/11 12:20,27.97,-27.805644,-51.184428,205.3,12,5,0,226.54,7.42,0,0,2106,legitimate
TXN000133,2025/2/23 11:20,16.08,-35.233413,-67.15088,15.6,11,6,0,213.77,6.67,1,0,1482,legitimate
TXN000134,2025/2/7 09:50,26.91,-49.070858,-151.647995,5.7,9,4,0,65.41,5.18,0,0,2793,legitimate
TXN000135,2025/9/10 16:34,91.19,-71.087965,-153.809883,11,16,2,0,49.5,2.67,1,0,807,legitimate
TXN000136,2025/9/15 08:09,28.1,57.363427,24.842187,24.4,8,0,0,154.82,6,1,0,2715,legitimate
TXN000137,2025/1/19 18:43,21.11,-29.292634,-25.512166,7.2,18,6,0,10.95,1.67,0,0,2270,legitimate
TXN000138,2025/1/19 15:04,14.27,-45.876728,-18.770871,10.3,15,6,1,51.07,3.65,2,0,2463,legitimate
TXN000139,2025/12/13 15:07,144.19,-51.456833,138.233548,15.3,15,5,0,104.82,6.87,0,0,486,legitimate
TXN000140,2025/8/27 16:01,16.58,-82.504619,-49.618602,28.2,16,2,1,69.66,2.78,0,1,2381,legitimate
TXN000141,2025/8/10 03:02,73.2,-39.538751,-132.228079,5.2,3,6,0,52.29,5.5,0,0,1516,legitimate
TXN000142,2025/11/24 18:46,140.32,37.140032,-160.018244,,18,0,1,255.45,1.53,0,0,21,legitimate
TXN000143,2025/8/26 10:00,83.81,-87.25567,109.228661,2,10,1,0,242.14,7.41,0,0,1948,legitimate
TXN000144,2025/3/30 09:08,81.36,27.08034,-92.212863,148.9,9,6,0,26.71,5.46,0,0,1543,legitimate
TXN000145,2025/12/29 07:39,139.1,-22.505151,63.764533,86.8,7,0,0,52.74,0.67,0,0,995,legitimate
TXN000146,2025/12/6 18:07,14.56,-63.727493,-146.288571,114.2,18,5,0,122.69,6.64,0,0,968,legitimate
TXN000147,2025/5/5 07:47,2182.29,-67.834413,148.64903,40.1,7,0,0,190.89,0.91,1,0,227,fraudulent
TXN000148,2025/4/23 01:25,102.02,-63.456615,-43.289207,26.3,1,2,1,519.12,4.46,1,0,728,legitimate
TXN000149,2025/5/31 17:20,113.92,11.563313,-51.906204,28.1,17,5,0,73.52,3.02,0,0,1122,legitimate
TXN000150,2025/11/12 17:50,111.39,33.352768,-65.242019,21,17,2,0,48.08,5.24,1,0,1989,legitimate
TXN000151,2025/9/2 23:20,60.04,29.9474,169.743665,,23,1,0,127.68,2.22,2,0,2728,legitimate
TXN000152,2025/12/1 02:24,215.3,87.429487,-22.864398,10.7,2,0,0,38.8,5.29,0,1,1147,legitimate
TXN000153,2025/6/19 21:40,9.59,-66.644148,64.629163,83.6,21,3,,20.89,3.59,0,0,1584,legitimate
TXN000154,2025/2/20 14:44,107.98,-79.129644,-137.02415,30.3,14,3,0,97.26,3.5,2,0,1174,legitimate
TXN000155,2025/10/18 15:46,43.26,28.554547,144.912406,32.6,15,5,0,21.43,1.68,0,0,1409,legitimate
TXN000156,2025/1/25 20:51,275.28,-31.25776,-106.257198,28.4,20,5,0,59.44,1.11,0,1,857,legitimate
TXN000157,2025/5/23 08:30,103.82,-40.01582,65.387264,34.5,8,4,1,96.69,5.97,0,0,1142,legitimate
TXN000158,2025/5/7 05:45,31.45,52.280416,108.563492,52.6,5,2,,35.71,5.44,1,0,1632,legitimate
TXN000159,2025/2/2 22:34,1130.36,-80.833156,-2.901769,89.2,22,6,0,98.6,4.46,0,0,407,legitimate
TXN000160,2025/2/5 02:08,163.6,-70.417922,105.428648,97.3,2,2,0,201.14,6.24,1,0,2786,legitimate
TXN000161,2025/11/26 00:08,639,75.647197,148.184433,70.8,0,2,0,438.93,5.62,1,1,2753,fraudulent
TXN000162,2025/5/18 06:47,92.42,-52.653832,44.897734,3.4,6,6,0,12.6,6.24,0,0,963,legitimate
TXN000163,2025/12/19 07:43,301.31,86.522321,-59.37183,100.4,7,4,0,457.91,5.71,0,0,688,legitimate
TXN000164,2025/1/15 21:44,13.84,-13.255266,44.401673,16.8,21,2,1,98.92,7.35,2,0,98,legitimate
TXN000165,2025/4/5 00:52,28.14,-65.293763,-97.307323,53.2,0,5,0,264.06,6.38,0,1,1897,legitimate
TXN000166,2025/6/9 06:28,170.36,-82.171841,96.615879,5.7,6,0,0,3.87,3.17,1,0,1203,legitimate
TXN000167,2025/4/11 06:51,164.8,-27.79013,-53.818156,2.1,6,4,0,54.13,4.97,1,0,2697,legitimate
TXN000168,2025/4/27 19:01,94.06,62.066937,-62.248866,65.8,19,6,0,63.1,3.17,0,0,661,legitimate
TXN000169,2025/5/16 10:40,279.72,2.553109,-3.582063,143.6,10,4,0,64.79,3.54,0,0,548,legitimate
TXN000170,2025/10/11 23:14,13.08,-15.250882,130.755962,53.6,23,5,0,152.47,2.09,0,0,2221,legitimate
TXN000171,2025/7/18 15:38,16.29,2.750359,-71.537275,6.4,15,4,0,35.8,7.66,2,0,1978,legitimate
TXN000172,2025/11/6 17:36,26.34,46.28196,51.343005,6.4,17,3,0,27.05,3.7,0,0,851,legitimate
TXN000173,2025/10/29 12:41,150.1,-89.211811,-126.962602,64.5,12,2,0,32.82,2.37,0,0,2842,legitimate
TXN000174,2025/2/27 06:39,383.1,45.658514,-13.415702,61.3,6,3,0,80.06,2.46,1,0,485,legitimate
TXN000175,2025/10/7 00:38,8.47,-25.306184,150.84526,226.5,0,1,0,147.73,0.2,2,0,333,legitimate
TXN000176,2025/8/11 00:40,0.27,46.80788,-72.137183,43.3,0,0,0,244.17,5.83,0,0,1750,legitimate
TXN000177,2025/5/17 07:32,22.73,-34.80198,-99.308923,77.5,7,5,0,23.59,0.46,0,0,1895,legitimate
TXN000178,2025/9/8 12:59,383.89,71.875658,30.803949,15.5,12,0,1,105.83,7.9,0,0,2151,legitimate
TXN000179,2025/5/8 05:00,84.5,30.737059,-5.91782,11.4,5,3,0,176.88,4,0,0,2782,legitimate
TXN000180,2025/7/11 20:00,153.36,-50.014648,-108.867522,36,20,4,0,34.19,7.06,0,0,1036,legitimate
TXN000181,2025/12/4 19:30,18.8,-55.498024,76.310141,41.8,19,3,0,92,3.65,0,0,636,legitimate
TXN000182,2025/12/29 08:13,9.38,69.937745,-138.907426,14.5,8,0,0,19.14,4.21,0,0,1475,legitimate
TXN000183,2025/10/30 17:32,2,-73.603423,-148.050761,231,17,3,0,58.26,6.83,0,0,618,legitimate
TXN000184,2025/7/29 11:24,3041.87,4.492631,-130.953393,12.8,11,1,0,12.69,0.83,0,0,2410,legitimate
TXN000185,2025/12/7 13:39,5.48,-11.030882,-15.422139,32.7,13,6,0,18,0.61,1,0,769,legitimate
TXN000186,2025/5/9 20:38,17.81,-32.433602,6.298799,37.7,20,4,0,105.91,6.32,0,0,235,legitimate
TXN000187,2025/8/26 05:34,19.3,35.817002,25.333483,4.3,5,1,0,389.19,2.9,1,0,777,legitimate
TXN000188,2025/12/18 00:28,2.13,39.283854,115.435587,38.4,0,3,0,14.5,2.46,1,0,1827,legitimate
TXN000189,2025/11/20 17:38,24.76,-49.699955,-93.838177,17,17,3,0,47.77,0.21,1,0,238,legitimate
TXN000190,2025/3/29 10:59,139.14,4.211206,-2.02836,8.9,10,5,0,38.52,2.78,0,0,2392,legitimate
TXN000191,2025/7/19 09:34,2.33,3.528275,11.097687,294.9,9,5,0,157.96,3.98,2,0,299,fraudulent
TXN000192,2025/3/10 20:39,16.63,-75.682759,-125.130375,40.7,20,0,0,225.34,0.61,0,0,2363,legitimate
TXN000193,2025/6/6 01:42,3.16,86.912466,-128.651886,8.6,1,4,0,113.1,4.58,2,0,341,legitimate
TXN000194,2025/6/18 10:52,184.46,19.090957,-68.424922,32.8,10,2,0,72.58,2.5,0,0,2615,legitimate
TXN000195,2025/1/4 13:44,146.36,-16.535382,-135.667085,,13,5,0,258.11,5.65,1,1,990,legitimate
TXN000196,2025/3/9 19:22,16.95,61.401682,-104.932745,21.6,19,6,0,36.02,0.41,2,0,709,legitimate
TXN000197,2025/11/27 16:12,127.92,-53.152986,159.080062,11.1,16,3,0,22.81,4.98,0,0,1733,legitimate
TXN000198,2025/8/29 14:53,162.22,-76.714591,-162.512398,177.3,14,4,0,313.94,5.5,0,0,1260,legitimate
TXN000199,2025/10/25 02:21,73.49,-81.16212,154.25321,21.6,2,5,0,173.36,2.99,0,0,322,legitimate
TXN000200,2025/5/13 20:34,72.69,-53.125121,174.782081,5,20,1,0,93.11,0.3,0,0,2508,legitimate
TXN000201,2025/1/20 19:05,60.43,-8.431263,-16.994391,40.1,19,0,0,235.21,6.75,0,0,1174,legitimate
TXN000202,2025/9/14 06:46,20.01,32.035934,-12.892164,51.7,6,6,0,70.52,2.96,0,0,2460,legitimate
TXN000203,2025/4/25 03:33,7.42,-17.726254,174.614902,24.4,3,4,0,19.83,3.57,0,0,1779,legitimate
TXN000204,2025/9/14 02:25,47.51,-35.126121,3.509528,11.2,2,6,0,30.84,6.98,0,0,804,legitimate
TXN000205,2025/6/7 16:21,43.55,8.157816,-74.362999,31.6,16,5,0,64.6,5.47,0,0,1536,legitimate
TXN000206,2025/3/21 21:01,46.82,-75.751659,-141.389677,17,21,4,1,149.32,7.86,0,0,1159,legitimate
TXN000207,2025/7/24 05:36,6.25,-79.121888,11.281036,18.1,5,3,1,189.82,7.55,0,0,936,legitimate
TXN000208,2025/6/6 03:31,26.3,44.65156,165.809704,2,3,4,0,5.88,0.43,0,0,1335,legitimate
TXN000209,2025/8/3 14:15,18.28,16.508121,131.106285,,14,6,0,6.6,7.41,1,0,1625,legitimate
TXN000210,2025/7/15 05:23,171.13,43.848077,99.482364,77.6,5,1,0,48.93,6.13,1,1,2253,legitimate
TXN000211,2025/4/7 13:40,110.23,-4.723874,-26.661586,52.3,13,0,,72.48,4.56,1,1,579,legitimate
TXN000212,2025/3/15 21:04,89.12,-79.805163,129.413793,24.8,21,5,0,72.38,0.22,0,0,718,legitimate
TXN000213,2025/7/12 00:42,21.88,16.754799,-69.448774,7.3,0,5,0,113.66,2.98,0,0,2523,legitimate
TXN000214,2025/3/12 05:14,14.46,-39.180525,-159.352446,35.8,5,2,1,235.09,7.14,0,0,2033,fraudulent
TXN000215,2025/11/14 12:34,574.26,74.487569,-150.483394,12,12,4,0,80.98,,2,1,588,fraudulent
TXN000216,2025/5/5 17:14,65.85,18.531455,160.783197,80.4,17,0,0,0.91,6.4,0,0,150,legitimate
TXN000217,2025/3/19 05:06,63.99,-76.826843,-25.837921,38.8,5,2,0,167.28,1.43,0,0,867,legitimate
TXN000218,2025/2/14 00:01,101.86,59.270206,172.374618,,0,4,0,86.86,5.41,1,0,534,legitimate
TXN000219,2025/9/17 09:58,5.47,-0.37748,97.143105,5.6,9,2,0,130.72,4.69,0,0,2172,legitimate
TXN000220,2025/5/16 01:45,16.62,-22.373662,90.19619,42.1,1,4,0,225.03,6.01,2,0,1083,fraudulent
TXN000221,2025/3/19 10:04,76.57,-19.58123,103.612595,15.5,10,2,1,97.95,5.49,0,0,330,legitimate
TXN000222,2025/8/17 07:41,49.19,-59.959142,-173.766782,74.2,7,6,0,189.88,6.07,2,0,938,legitimate
TXN000223,2025/7/21 13:11,62.28,-51.377226,-169.413423,12.7,13,0,0,7.25,1.92,0,1,335,legitimate
TXN000224,2025/2/16 12:59,1.02,-67.956838,121.622567,29.8,12,6,0,98.6,1.22,0,0,988,legitimate
